1 9397          ,
189 95          come
190 95          kind
191 93          therefore
192 93          world
193 92          quite
194 92          both
195 91          seemed
196 90          They
197 89          came
198 89          us
199 89          cannot
200 89          believe
201 89          Barton
202 88          upon
203 87          hope
204 87          morning
205 87          place
206 87          cried
207 86          Her
208 86          town
209 85          nor
210 84          where
211 84          present
212 83          really
213 83          indeed
214 83          family
215 83          almost
216 83          brother
217 82          tell
218 82          till
219 80          No
220 80          like
221 79          affection
222 78          heard
223 78          better
224 77          love
225 77          Palmer
226 77          few
227 76          letter
228 76          down
229 74          another
230 74          way
231 74          In
232 73          together
233 73          wish
234 73          feelings
235 73          rather
236 72          His
237 72          immediately
238 72          once
239 71          found
240 71          done
241 71          gave
242 71          something
243 70          person
244 70          least
245 70          hear
246 69          spirits
247 69          home
248 68          told
249 68          subject
250 68          yet
251 68          What
252 68          woman
253 67          Oh
254 67          just
255 67          pleasure
256 67          far
257 67          whom
258 67          our
259 66          whole
260 66          between
261 66          feel
262 66          happiness
263 65          hardly
264 64          acquaintance
265 64          look
266 64          against
267 64          behaviour
268 63          My
269 63          opinion
270 63          comfort
271 63          ,--
272 63          perhaps
273 62          engagement
274 62          towards
275 62          friends
276 62          visit
277 61          knew
278 61          speak
279 60          ?--
280 60          t
281 60          three
282 60          looked
283 60          known
284 60          because
285 59          since
286 59          others
287 59          This
288 58          brought
289 58          life
290 58          leave
291 58          going
292 58          cottage
293 58          within
294 58          attention
295 57          having
296 57          off
297 57          each
298 56          continued
299 56          manner
300 56          these
301 56          side
302 56          seen
303 56          eyes
304 56          short
305 55          friend
306 55          suppose
307 55          general
308 55          find
309 55          half
310 54          people
311 54          situation
312 54          rest
313 54          :
314 54          year
315 54          wished
316 54          end
317 54          given
318 54          married
319 53          How
320 53          reason
321 53          To
322 53          Norland
323 53          longer
324 52          returned
325 52          next
326 52          often
327 52          body
328 52          took
329 52          passed
330 51          evening
331 51          voice
332 51          under
333 50          does
334 50          ill
335 50          CHAPTER
336 49          here
337 49          A
338 49          possible
339 49          years
340 49          farther
341 49          certainly
342 49          Well
343 49          went
344 49          already
345 49          regard
346 49          wife
347 48          party
348 48          whose
349 48          those
350 48          part
351 48          sisters
352 48          Fanny
353 47          THAT
354 47          thousand
355 47          word
356 47          matter
357 47          interest
358 47          obliged
359 47          minutes
360 46          determined
361 46          doubt
362 46          daughter
363 46          else
364 46          able
365 46          particular
366 45          power
367 45          Street
368 45          business
369 45          When
370 45          Yes
371 45          days
372 44          old
373 44          marriage
374 44          If
375 44          neither
376 44          account
377 44          glad
378 43          take
379 43          poor
380 43          entirely
381 43          husband
382 43          lady
383 43          put
384 43          perfectly
385 43          called
386 43          name
387 43          whether
388 42          want
389 42          return
390 42          hand
391 42          directly
392 42          beyond
393 42          As
394 42          began
395 42          mean
396 42          kindness
397 41          child
398 41          That
399 41          pounds
400 41          seeing
401 41          We
402 41          added
403 41          carriage
404 40          engaged
405 40          equally
406 40          surprise
407 40          entered
408 40          talk
409 40          back
410 39          saying
411 39          received
412 39          expected
413 39          conversation
414 38          yourself
415 38          hours
416 38          door
417 38          fortune
418 38          Steele
419 38          means
420 38          real
421 38          themselves
422 38          point
423 38          spent
424 38          giving
425 38          greater
426 38          --"
427 37          object
428 37          sat
429 37          silent
430 37          wonder
431 37          coming
432 37          through
433 37          conduct
434 37          settled
435 37          head
436 37          satisfaction
437 36          open
438 36          dare
439 36          Dashwoods
440 36          months
441 36          live
442 36          ask
443 36          pretty
444 36          girl
445 36          living
446 36          Margaret
447 36          case
448 35          spoke
449 35          son
450 35          night
451 35          impossible
452 35          ready
453 35          call
454 35          appeared
455 35          London
456 35          hour
457 35          common
458 35          spite
459 35          arrival
460 34          four
461 34          gone
462 34          Your
463 34          manners
464 34          ought
465 34          sorry
466 34          character
467 34          either
468 34          particularly
469 34          attachment
470 34          week
471 34          Robert
472 33          country
473 33          set
474 33          care
475 33          Their
476 33          At
477 33          answer
478 33          deal
479 33          sake
480 33          children
481 33          afterwards
482 33          ladies
483 32          nature
484 32          right
485 32          alone
486 32          certain
487 32          law
488 32          invitation
489 32          There
490 32          ma
491 32          silence
492 32          near
493 32          talked
494 32          assure
495 31          instantly
496 31          former
497 31          sense
498 31          confidence
499 31          five
500 31          whatever
501 31          keep
502 31          new
503 31          get
504 31          different
505 31          fancy
506 31          convinced
507 31          pleased
508 30          believed
509 30          natural
510 30          course
511 30          full
512 30          Steeles
513 30          Is
514 30          (
515 30          stay
516 30          father
517 30          wishes
518 30          park
519 30          comfortable
520 30          judgment
521 30          usual
522 30          wanted
523 30          Delaford
524 30          happened
525 30          table
526 29          small
527 29          company
528 29          self
529 29          walked
530 29          marry
531 29          doing
532 29          kept
533 29          change
534 29          remained
535 29          taken
536 29          anxious
537 29          circumstances
538 29          easily
539 29          HER
540 29          Lord
541 29          necessary
542 28          feeling
543 28          future
544 28          For
545 28          drawing
546 28          opportunity
547 28          gentleman
548 28          strong
549 28          affair
550 28          likely
551 28          countenance
552 28          Poor
553 28          knowledge
554 28          appearance
555 28          resolved
556 28          repeated
557 28          greatest
558 28          question
559 28          words
560 27          turned
561 27          handsome
562 27          past
563 27          Cleveland
564 27          concern
565 27          notice
566 27          So
567 27          exactly
568 27          suffered
569 27          round
570 27          favour
571 27          declared
572 27          misery
573 27          got
574 27          hearing
575 27          talking
576 27          bed
577 27          considered
578 27          taste
579 27          expect
580 27          daughters
581 26          assured
582 26          best
583 26          large
584 26          let
585 26          likewise
586 26          produced
587 26          truth
588 26          satisfied
589 26          low
590 26          money
591 26          acquainted
592 26          understand
593 26          occasion
594 26          exceedingly
595 26          resolution
596 26          state
597 26          expectation
598 26          distress
599 26          YOU
600 26          Devonshire
601 26          fear
602 25          anything
603 25          Had
604 25          surprised
605 25          allow
606 25          face
607 25          latter
608 25          event
609 25          agreeable
610 25          Do
611 25          pain
612 25          fine
613 25          meeting
614 25          favourite
615 25          otherwise
616 25          advantage
617 25          why
618 24          desire
619 24          Why
620 24          painful
621 24          society
622 24          forced
623 24          appear
624 24          Charlotte
625 24          met
626 24          curiosity
627 24          delight
628 24          thoughts
629 24          answered
630 24          late
631 24          idea
632 24          supposed
633 24          Perhaps
634 24          fixed
635 24          taking
636 24          proper
637 24          dinner
638 24          seems
639 24          ten
640 24          joy
641 23          men
642 23          things
643 23          tears
644 23          formed
645 23          smile
646 23          immediate
647 23          sometimes
648 23          worth
649 23          true
650 23          regret
651 23          cold
652 23          window
653 23          servant
654 23          earnest
655 23          probably
656 23          effect
657 23          scarcely
658 23          weeks
659 23          unfortunate
660 23          making
661 23          reached
662 23          bear
663 23          serious
664 23          income
665 23          use
666 23          afraid
667 23          After
668 22          wrong
669 22          asked
670 22          prevent
671 22          SHE
672 22          plan
673 22          knowing
674 22          connection
675 22          easy
676 22          read
677 22          journey
678 22          Park
679 22          meet
680 22          merely
681 22          disappointment
682 22          share
683 22          danger
684 22          Did
685 22          constant
686 22          sitting
687 22          admiration
688 22          respect
689 22          strange
690 22          affectionate
691 22          leaving
692 22          promise
693 21          looking
694 21          beauty
695 21          exertion
696 21          emotion
697 21          sent
698 21          meant
699 21          avoid
700 21          chance
701 21          conviction
702 21          tried
703 21          hundred
704 21          With
705 21          address
706 21          Not
707 21          melancholy
708 21          mistaken
709 21          arrived
710 21          temper
711 21          speaking
712 21          disposition
713 21          equal
714 21          view
715 21          disposed
716 21          fond
717 20          consider
718 20          eager
719 20          On
720 20          letters
721 20          compassion
722 20          above
723 20          delighted
724 20          inquiry
725 20          enjoyment
726 20          lived
727 20          used
728 20          loss
729 20          lost
730 20          seem
731 20          particulars
732 20          eldest
733 20          soul
734 20          unhappy
735 20          smallest
736 20          forward
737 20          times
738 20          elegance
739 20          friendship
740 20          walk
741 20          thus
742 19          stairs
743 19          indifference
744 19          breakfast
745 19          early
746 19          help
747 19          required
748 19          mentioned
749 19          Middletons
750 19          liberty
751 19          wait
752 19          staying
753 19          among
754 19          companion
755 19          difference
756 19          eye
757 19          circumstance
758 19          difficulty
759 19          secret
760 19          discourse
761 19          Nothing
762 19          hoped
763 19          age
764 19          estate
765 19          Such
766 19          quiet
767 19          consequence
768 19          tenderness
769 19          weather
770 18          second
771 18          music
772 18          Then
773 18          pity
774 18          honour
775 18          understanding
776 18          joined
777 18          followed
778 18          necessity
779 18          sight
780 18          delightful
781 18          become
782 18          unable
783 18          gratitude
784 18          air
785 18          entrance
786 18          thinking
787 18          Allenham
788 18          moments
789 18          Smith
790 18          calm
791 18          overcome
792 18          observation
793 18          alarm
794 18          especially
795 18          writing
796 18          capable
797 18          none
798 18          hopes
799 18          praise
800 18          hair
801 18          attended
802 18          relief
803 18          style
804 18          recollection
805 17          cousins
806 17          ease
807 17          allowed
808 17          information
809 17          agitation
810 17          inclination
811 17          led
812 17          bring
813 17          calmness
814 17          warmth
815 17          welcome
816 17          pause
817 17          remember
818 17          Berkeley
819 17          charming
820 17          hands
821 17          need
822 17          attempt
823 17          Indeed
824 17          anxiety
825 17          mine
826 17          amiable
827 17          behind
828 17          composure
829 17          simple
830 17          astonishment
831 17          difficulties
832 17          thirty
833 17          Morton
834 17          uncle
835 17          spirit
836 17          except
837 17          worse
838 17          intelligence
839 17          became
840 17          looks
841 16          rich
842 16          opinions
843 16          parties
844 16          Combe
845 16          influence
846 16          receive
847 16          affliction
848 16          quitted
849 16          aware
850 16          indifferent
851 16          grave
852 16          loved
853 16          write
854 16          informed
855 16          relations
856 16          persuaded
857 16          girls
858 16          don
859 16          yes
860 16          disappointed
861 16          declare
862 16          purpose
863 16          Harley
864 16          esteem
865 16          laughed
866 16          everything
867 16          turn
868 16          cheerfulness
869 16          civility
870 16          Every
871 16          carried
872 15          NOT
873 15          offer
874 15          afford
875 15          suspicion
876 15          spoken
877 15          prospect
878 15          note
879 15          fire
880 15          suffering
881 15          considerable
882 15          ago
883 15          expressed
884 15          engage
885 15          delay
886 15          One
887 15          increased
888 15          gained
889 15          lately
890 15          highly
891 15          work
892 15          observed
893 15          unwilling
894 15          tomorrow
895 15          excuse
896 15          alteration
897 15          utmost
898 15          cause
899 15          importance
900 15          turning
901 15          form
902 15          interesting
903 15          pleasant
904 15          express
905 15          itself
906 15          nobody
907 15          match
908 15          Exeter
909 15          prevented
910 15          trust
911 15          several
912 15          presence
913 15          civil
914 15          removed
915 15          ."--
916 15          violent
917 15          tea
918 15          twenty
919 15          finding
920 15          six
921 15          smart
922 15          mutual
923 14          NOW
924 14          eagerly
925 14          altogether
926 14          marrying
927 14          respectable
928 14          support
929 14          MY
930 14          folly
931 14          DID
932 14          clock
933 14          creature
934 14          imagine
935 14          reproach
936 14          fresh
937 14          concerned
938 14          occurred
939 14          command
940 14          assistance
941 14          amusement
942 14          card
943 14          ,"--
944 14          politeness
945 14          dreadful
946 14          heavy
947 14          justice
948 14          during
949 14          won
950 14          cheerful
951 14          Now
952 14          written
953 14          frequently
954 14          drew
955 14          judged
956 14          perceive
957 14          yours
958 14          wishing
959 14          assurance
960 14          suffer
961 14          treated
962 14          engagements
963 14          relation
964 14          yesterday
965 14          proof
966 14          mention
967 14          From
968 14          supported
969 14          )
970 14          news
971 14          propriety
972 14          duty
973 14          knows
974 14          understood
975 14          consolation
976 14          meaning
977 14          degree
978 14          encouragement
979 13          fortnight
980 13          !"--
981 13          solicitude
982 13          o
983 13          walking
984 13          merit
985 13          expression
986 13          death
987 13          pressed
988 13          garden
989 13          invited
990 13          naturally
991 13          evident
992 13          secure
993 13          consent
994 13          forth
995 13          leisure
996 13          evil
997 13          post
998 13          dance
999 13          grateful
1000 13          trouble
1001 13          perceived
1002 13          whenever
1003 13          receiving
1004 13          burst
1005 13          offence
1006 13          comparison
1007 13          conscience
1008 13          probability
1009 13          By
1010 13          All
1011 13          cousin
1012 13          seven
1013 13          approbation
1014 13          persuasion
1015 13          sensible
1016 13          assist
1017 13          returning
1018 13          orders
1019 13          extremely
1020 13          proved
1021 13          private
1022 13          calling
1023 13          laugh
1024 13          fellow
1025 13          selfish
1026 13          parted
1027 13          expense
1028 13          says
1029 13          intended
1030 13          rose
1031 13          horses
1032 13          health
1033 13          recovered
1034 13          inconvenience
1035 13          sweet
1036 13          due
1037 13          sit
1038 13          feared
1039 13          earnestly
1040 13          employment
1041 12          bringing
1042 12          natured
1043 12          hold
1044 12          exclaimed
1045 12          heartily
1046 12          minute
1047 12          angry
1048 12          besides
1049 12          illness
1050 12          spare
1051 12          intimate
1052 12          lively
1053 12          beautiful
1054 12          smiling
1055 12          warmly
1056 12          couple
1057 12          dislike
1058 12          consideration
1059 12          procured
1060 12          length
1061 12          fact
1062 12          placed
1063 12          continual
1064 12          lay
1065 12          reasonable
1066 12          resemblance
1067 12          miserable
1068 12          drawn
1069 12          terms
1070 12          hills
1071 12          astonished
1072 12          promised
1073 12          interested
1074 12          sending
1075 12          raised
1076 12          acknowledge
1077 12          hastily
1078 12          increase
1079 12          greatly
1080 12          probable
1081 12          censure
1082 12          remaining
1083 12          objection
1084 12          confess
1085 12          wrote
1086 12          reflection
1087 12          Have
1088 12          Certainly
1089 12          warm
1090 12          forgot
1091 12          mistress
1092 12          distance
1093 12          ignorance
1094 12          consciousness
1095 12          vanity
1096 12          unnecessary
1097 12          fell
1098 12          restored
1099 12          suspect
1100 12          paid
1101 12          sincere
1102 12          sudden
1103 12          broken
1104 12          Though
1105 12          imagination
1106 12          important
1107 12          remain
1108 12          mama
1109 12          prepared
1110 12          explanation
1111 12          finished
1112 12          tone
1113 12          grief
1114 12          join
1115 12          ONE
1116 12          acknowledged
1117 12          enter
1118 12          Here
1119 12          twice
1120 12          communication
1121 12          suddenly
1122 12          wretched
1123 12          opposition
1124 12          waiting
1125 12          instead
1126 12          "--
1127 12          superior
1128 12          material
1129 12          affections
1130 12          related
1131 12          happen
1132 12          gay
1133 11          explained
1134 11          striking
1135 11          recommended
1136 11          ?"--
1137 11          sigh
1138 11          Magna
1139 11          uncertain
1140 11          send
1141 11          behaved
1142 11          colour
1143 11          variety
1144 11          established
1145 11          amazement
1146 11          profession
1147 11          ,'
1148 11          hurried
1149 11          caught
1150 11          stopped
1151 11          employed
1152 11          Good
1153 11          spared
1154 11          piece
1155 11          force
1156 11          bad
1157 11          sooner
1158 11          forget
1159 11          public
1160 11          beginning
1161 11          contrary
1162 11          tender
1163 11          please
1164 11          raise
1165 11          spend
1166 11          openly
1167 11          remembrance
1168 11          possession
1169 11          pleasing
1170 11          objects
1171 11          sorrow
1172 11          injured
1173 11          :--
1174 11          excellent
1175 11          free
1176 11          rain
1177 11          thoroughly
1178 11          attempted
1179 11          picture
1180 11          intimacy
1181 11          reply
1182 11          ideas
1183 11          stand
1184 11          removal
1185 11          inquiries
1186 11          pray
1187 11          wondered
1188 11          village
1189 11          imprudence
1190 11          anybody
1191 11          dared
1192 11          concluded
1193 11          women
1194 11          parlour
1195 11          attend
1196 11          light
1197 11          deceived
1198 11          monstrous
1199 11          eagerness
1200 10          hurt
1201 10          borne
1202 10          choice
1203 10          settle
1204 10          along
1205 10          neighbourhood
1206 10          Harris
1207 10          act
1208 10          endeavouring
1209 10          condition
1210 10          accept
1211 10          admire
1212 10          submit
1213 10          lock
1214 10          high
1215 10          books
1216 10          lucky
1217 10          Grey
1218 10          forgiven
1219 10          ceased
1220 10          safe
1221 10          reasonably
1222 10          seated
1223 10          notion
1224 10          mistake
1225 10          Palmers
1226 10          request
1227 10          absence
1228 10          God
1229 10          lips
1230 10          dull
1231 10          fears
1232 10          following
1233 10          sentiments
1234 10          attending
1235 10          beg
1236 10          assurances
1237 10          hearted
1238 10          Oxford
1239 10          However
1240 10          third
1241 10          attached
1242 10          generally
1243 10          partiality
1244 10          apology
1245 10          fancied
1246 10          miles
1247 10          language
1248 10          waited
1249 10          offered
1250 10          speech
1251 10          secrecy
1252 10          sunk
1253 10          stood
1254 10          readily
1255 10          advice
1256 10          fortitude
1257 10          Yet
1258 10          absolutely
1259 10          uncomfortable
1260 10          wholly
1261 10          lover
1262 10          eight
1263 10          beau
1264 10          sleep
1265 10          delicacy
1266 10          Mamma
1267 10          parting
1268 10          HE
1269 10          quick
1270 10          proud
1271 10          humour
1272 10          dining
1273 10          visitors
1274 10          direction
1275 10          justify
1276 10          furniture
1277 10          valley
1278 10          design
1279 10          sum
1280 10          thrown
1281 10          story
1282 10          indignation
1283 10          united
1284 10          THEN
1285 10          education
1286 10          urged
1287 10          Upon
1288 10          opened
1289 9          hers
1290 9          fit
1291 9          beaux
1292 9          service
1293 9          result
1294 9          matters
1295 9          chair
1296 9          ME
1297 9          Who
1298 9          spot
1299 9          conscious
1300 9          observe
1301 9          around
1302 9          watched
1303 9          sensibility
1304 9          learn
1305 9          shocking
1306 9          arose
1307 9          guess
1308 9          Has
1309 9          concealed
1310 9          sides
1311 9          odd
1312 9          listened
1313 9          convince
1314 9          Sussex
1315 9          reserve
1316 9          twelvemonth
1317 9          property
1318 9          Pratt
1319 9          satisfy
1320 9          ,)
1321 9          produce
1322 9          ended
1323 9          attempting
1324 9          complexion
1325 9          struck
1326 9          moved
1327 9          doubted
1328 9          clear
1329 9          close
1330 9          described
1331 9          abroad
1332 9          Ah
1333 9          Ay
1334 9          telling
1335 9          Doctor
1336 9          started
1337 9          servants
1338 9          HIM
1339 9          quit
1340 9          distant
1341 9          motive
1342 9          desirous
1343 9          active
1344 9          frequent
1345 9          bestow
1346 9          uneasiness
1347 9          Are
1348 9          continuance
1349 9          unpleasant
1350 9          maid
1351 9          seat
1352 9          pay
1353 9          hard
1354 9          depended
1355 9          humoured
1356 9          Some
1357 9          slight
1358 9          introduced
1359 9          softened
1360 9          direct
1361 9          laid
1362 9          encouraging
1363 9          ran
1364 9          resist
1365 9          advanced
1366 9          intentions
1367 9          charge
1368 9          today
1369 9          unfortunately
1370 9          believing
1371 9          WAS
1372 9          delicate
1373 9          actions
1374 9          confined
1375 9          determine
1376 9          extraordinary
1377 9          dine
1378 9          About
1379 9          abilities
1380 9          separation
1381 9          sort
1382 9          plainly
1383 9          agreed
1384 9          merits
1385 9          embarrassment
1386 9          sufficient
1387 8          elegant
1388 8          leaning
1389 8          fix
1390 8          Eliza
1391 8          message
1392 8          fair
1393 8          Somersetshire
1394 8          possibly
1395 8          positive
1396 8          imagined
1397 8          single
1398 8          thinks
1399 8          complete
1400 8          pass
1401 8          attentions
1402 8          number
1403 8          carrying
1404 8          perfect
1405 8          gentle
1406 8          bred
1407 8          stronger
1408 8          mere
1409 8          triumph
1410 8          recovery
1411 8          agony
1412 8          affected
1413 8          strength
1414 8          Longstaple
1415 8          sincerely
1416 8          occur
1417 8          fifty
1418 8          ground
1419 8          comes
1420 8          suspected
1421 8          improvement
1422 8          trying
1423 8          excess
1424 8          hurry
1425 8          offended
1426 8          held
1427 8          horse
1428 8          aye
1429 8          .'
1430 8          similar
1431 8          draw
1432 8          prudence
1433 8          assertion
1434 8          HIS
1435 8          rendered
1436 8          measure
1437 8          completely
1438 8          commendation
1439 8          England
1440 8          shew
1441 8          gain
1442 8          cruel
1443 8          pardon
1444 8          credit
1445 8          calmly
1446 8          visitor
1447 8          explain
1448 8          stop
1449 8          proceeded
1450 8          changed
1451 8          shame
1452 8          sentence
1453 8          regarded
1454 8          conceal
1455 8          died
1456 8          depend
1457 8          effort
1458 8          venture
1459 8          performance
1460 8          nearly
1461 8          totally
1462 8          road
1463 8          arranged
1464 8          prudent
1465 8          Don
1466 8          existence
1467 8          seeking
1468 8          morrow
1469 8          Whatever
1470 8          laughing
1471 8          listening
1472 8          presently
1473 8          earnestness
1474 8          ashamed
1475 8          visited
1476 8          concerns
1477 8          instant
1478 8          value
1479 8          success
1480 8          buy
1481 8          whisper
1482 8          pride
1483 8          enjoy
1484 8          persuade
1485 8          comprehend
1486 8          sincerity
1487 8          Tell
1488 8          escape
1489 8          setting
1490 8          figure
1491 8          secured
1492 8          catching
1493 8          cards
1494 8          resentment
1495 8          .--"
1496 8          reward
1497 8          strongly
1498 8          deserve
1499 8          belonging
1500 8          observing
1501 8          solitude
1502 8          reflect
1503 8          forgive
1504 8          alike
1505 8          learnt
1506 8          advise
1507 8          impatient
1508 8          ladyship
1509 8          getting
1510 8          parsonage
1511 8          dearest
1512 8          deny
1513 8          watching
1514 8          safely
1515 8          grounds
1516 8          unlike
1517 8          approve
1518 8          supply
1519 8          goodness
1520 8          book
1521 7          eligible
1522 7          caution
1523 7          endeavoured
1524 7          effects
1525 7          idle
1526 7          Williams
1527 7          busy
1528 7          vain
1529 7          chuse
1530 7          valued
1531 7          Our
1532 7          winter
1533 7          quarter
1534 7          entering
1535 7          possibility
1536 7          ridiculous
1537 7          altered
1538 7          syllable
1539 7          entreaties
1540 7          residence
1541 7          instrument
1542 7          preference
1543 7          satisfactory
1544 7          afforded
1545 7          Harry
1546 7          walks
1547 7          attentive
1548 7          objections
1549 7          dress
1550 7          paper
1551 7          begged
1552 7          belief
1553 7          sex
1554 7          owed
1555 7          forgiveness
1556 7          Of
1557 7          deserved
1558 7          elsewhere
1559 7          partial
1560 7          poverty
1561 7          establishment
1562 7          Aye
1563 7          rising
1564 7          shut
1565 7          tempt
1566 7          amendment
1567 7          lasted
1568 7          green
1569 7          guilt
1570 7          independent
1571 7          impertinent
1572 7          bestowed
1573 7          Dear
1574 7          prove
1575 7          liberality
1576 7          avoided
1577 7          inevitable
1578 7          honest
1579 7          ring
1580 7          size
1581 7          begin
1582 7          discovered
1583 7          removing
1584 7          church
1585 7          excessively
1586 7          dread
1587 7          restless
1588 7          grew
1589 7          liked
1590 7          animated
1591 7          smiled
1592 7          friendly
1593 7          noise
1594 7          escaped
1595 7          picturesque
1596 7          Conduit
1597 7          claim
1598 7          instance
1599 7          Could
1600 7          addition
1601 7          thanked
1602 7          fate
1603 7          lives
1604 7          seriously
1605 7          vast
1606 7          Thomas
1607 7          personal
1608 7          droll
1609 7          peculiar
1610 7          decided
1611 7          Nay
1612 7          supposing
1613 7          jealous
1614 7          distrust
1615 7          everybody
1616 7          wealth
1617 7          shewn
1618 7          coloured
1619 7          shocked
1620 7          shop
1621 7          show
1622 7          across
1623 7          employments
1624 7          voluntarily
1625 7          indisposition
1626 7          sufferings
1627 7          founded
1628 7          invariably
1629 7          acting
1630 7          youth
1631 7          reflections
1632 7          remove
1633 7          materially
1634 7          cruelty
1635 7          Nancy
1636 7          cut
1637 7          source
1638 7          continuing
1639 7          Come
1640 7          chief
1641 7          improvements
1642 7          chaise
1643 7          joke
1644 7          passing
1645 7          domestic
1646 7          Two
1647 7          patience
1648 7          ceremony
1649 7          independence
1650 7          habit
1651 7          discovery
1652 7          lessen
1653 7          expenses
1654 7          shortly
1655 7          tolerably
1656 7          offices
1657 7          impression
1658 7          succeeded
1659 7          farewell
1660 7          begun
1661 7          accommodation
1662 7          period
1663 7          blow
1664 7          hint
1665 7          accepted
1666 7          provided
1667 7          follow
1668 7          rate
1669 7          proceed
1670 7          arise
1671 7          chiefly
1672 7          departure
1673 7          oppressed
1674 7          hill
1675 7          signify
1676 7          declined
1677 7          try
1678 7          speedily
1679 7          insensible
1680 7          selfishness
1681 7          nice
1682 7          happier
1683 7          chose
1684 7          inclined
1685 7          paused
1686 7          dependence
1687 7          readiness
1688 7          Can
1689 7          hitherto
1690 7          nearer
1691 7          unhappiness
1692 7          improved
1693 7          lead
1694 7          owe
1695 6          tired
1696 6          unjust
1697 6          wind
1698 6          wine
1699 6          drove
1700 6          needed
1701 6          listen
1702 6          pocket
1703 6          extent
1704 6          eighteen
1705 6          trusted
1706 6          Thank
1707 6          succeeding
1708 6          later
1709 6          liberal
1710 6          Ma
1711 6          pretend
1712 6          divided
1713 6          improving
1714 6          cordiality
1715 6          beloved
1716 6          wanting
1717 6          unkindness
1718 6          remarks
1719 6          drive
1720 6          gaiety
1721 6          motives
1722 6          agree
1723 6          puzzled
1724 6          Whitwell
1725 6          hereafter
1726 6          missed
1727 6          accepting
1728 6          compliment
1729 6          Pray
1730 6          makes
1731 6          degrees
1732 6          designs
1733 6          perceiving
1734 6          Because
1735 6          February
1736 6          desirable
1737 6          raillery
1738 6          red
1739 6          total
1740 6          strangers
1741 6          Anne
1742 6          happiest
1743 6          security
1744 6          Gray
1745 6          generosity
1746 6          convincing
1747 6          reception
1748 6          broke
1749 6          dissatisfied
1750 6          cost
1751 6          marked
1752 6          recollect
1753 6          offend
1754 6          justified
1755 6          moreover
1756 6          severe
1757 6          valuable
1758 6          fully
1759 6          twelve
1760 6          describe
1761 6          Plymouth
1762 6          takes
1763 6          actually
1764 6          expecting
1765 6          scheme
1766 6          forgotten
1767 6          Was
1768 6          game
1769 6          wit
1770 6          sought
1771 6          arrangement
1772 6          fatigue
1773 6          pursuits
1774 6          submitted
1775 6          distinguished
1776 6          pianoforte
1777 6          connected
1778 6          admit
1779 6          reasons
1780 6          previously
1781 6          impatience
1782 6          inconstancy
1783 6          ear
1784 6          downs
1785 6          school
1786 6          principles
1787 6          points
1788 6          grown
1789 6          January
1790 6          finally
1791 6          Where
1792 6          boy
1793 6          bow
1794 6          rejoiced
1795 6          basket
1796 6          views
1797 6          dwelling
1798 6          undoubtedly
1799 6          DO
1800 6          office
1801 6          communicated
1802 6          reading
1803 6          pained
1804 6          maintained
1805 6          considering
1806 6          mark
1807 6          Bartlett
1808 6          fall
1809 6          favourable
1810 6          charms
1811 6          walls
1812 6          engaging
